"brand","Марка","Классификация","Применение","Зарубежные_аналоги","Дополнение","Заменитель"
"ХН60МЮВТ-ВД","ХН60МЮВТ-ВД","Сплав жаропрочный","Для изготовления различных деталей ответственного назначения энергомашиностроения, двигателестроения, турбиностроения; лопаток турбин; деталей специальной техники.","Нет данных","",""
"ХН60МЮВТ","ХН60МЮВТ","Сплав жаропрочный","Для изготовления различных деталей ответственного назначения энергомашиностроения, двигателестроения, турбиностроения; лопаток турбин; деталей специальной техники.","Нет данных","",""
"ХН60Ю","ХН60Ю","Сплав жаропрочный","Детали газопроводных систем, аппаратура с ограниченным сроком службы при 1100 град.С и кратковременным сроком службы при 1250 град.С ; сплав жаростойкий","Нет данных","С 1.01.91 не допускается к применению во вновь создаваемой и модернизируемой технике.",""
"ХН62ВМКЮ","ХН62ВМКЮ","Сплав жаропрочный","лопатки, диски турбин, работающие при температурах до 900 °С.","Нет данных","Срок работы - ограниченный. Температура начала интенсивного окалинообразования 1080 °C.",""
"ХН62МВКЮ-ВД","ХН62МВКЮ-ВД","Сплав жаропрочный","лопатки, диски турбин, работающие при температурах до 900 °С.","Нет данных","Срок работы - ограниченный. Температура начала интенсивного окалинообразования 1080 °C.",""
"ХН62МВКЮ","ХН62МВКЮ","Сплав жаропрочный","лопатки, диски турбин, работающие при температурах до 900 °С.","Нет данных","Срок работы - ограниченный. Температура начала интенсивного окалинообразования 1080 °C.",""
"ХН65ВМТЮ-ВД","ХН65ВМТЮ-ВД","Сплав жаропрочный","Рабочие и направляющие лопатки и крепежные детали газовых турбин, работающие при температурах до 800 °С.","Нет данных","Срок работы - весьма длительный. Температура начала интенсивного окалинообразования 1000 °С",""
"ХН65ВМТЮ-ВИ","ХН65ВМТЮ-ВИ","Сплав жаропрочный","Рабочие и направляющие лопатки и крепежные детали газовых турбин, работающие при температурах до 800 °С.","Нет данных","Срок работы - весьма длительный. Температура начала интенсивного окалинообразования 1000 °С",""
"ХН65ВМТЮ","ХН65ВМТЮ","Сплав жаропрочный","Рабочие и направляющие лопатки и крепежные детали газовых турбин, работающие при температурах до 800 °С.","Нет данных","Срок работы - весьма длительный. Температура начала интенсивного окалинообразования 1000 °С",""
"ХН65МВТЮ","ХН65МВТЮ","Сплав жаропрочный","Рабочие и направляющие лопатки и крепежные детали газовых турбин, работающие при температурах до 800 °С.","Нет данных","Срок работы - весьма длительный. Температура начала интенсивного окалинообразования 1000 °С",""
"ХН67МВТЮ-ВД","ХН67МВТЮ-ВД","Сплав жаропрочный","Лопатки, корпуса, диски, листовые детали турбин, сварные изделия, работающие при температурах до 800 °С.","Нет данных","Срок работы - длительный. Температура начала интенсивного окалинообразования 1000 °C.",""
"ХН67МВТЮ","ХН67МВТЮ","Сплав жаропрочный","Лопатки, корпуса, диски, листовые детали турбин, сварные изделия, работающие при температурах до 800 °С.","Нет данных","Срок работы - длительный. Температура начала интенсивного окалинообразования 1000 °C.",""
"ХН70ВМТЮ-ВИ","ХН70ВМТЮ-ВИ","Сплав жаропрочный","для рабочих и сопловых лопаток газовых турбин","Нет данных","",""
"ХН70ВМТЮ","ХН70ВМТЮ","Сплав жаропрочный","для рабочих и сопловых лопаток газовых турбин","Нет данных","",""
"ХН70ВМТЮФ-ВД","ХН70ВМТЮФ-ВД","Сплав жаропрочный","Лопатки турбин и другие тяжелонагруженные детали для работы при температурах до 800°С.","Нет данных","Срок работы - длительный. Температура начала интенсивного окалинообразования 1050 °С",""
"ХН70ВМТЮФ","ХН70ВМТЮФ","Сплав жаропрочный","Лопатки турбин и другие тяжелонагруженные детали для работы при температурах до 800°С.","Нет данных","Срок работы - длительный. Температура начала интенсивного окалинообразования 1050 °С",""
"ХН70ВМЮТ","ХН70ВМЮТ","Сплав жаропрочный","крепежные и другие детали, работающие при температуре до 750—800 °С.","Нет данных","",""
"ХН70МВТЮБ-ВД","ХН70МВТЮБ-ВД","Сплав жаропрочный","лопатки турбин","Нет данных","",""
"ХН70МВТЮБ-ВИ","ХН70МВТЮБ-ВИ","Сплав жаропрочный","лопатки турбин","Нет данных","",""
"ХН70МВТЮБ","ХН70МВТЮБ","Сплав жаропрочный","лопатки турбин","Нет данных","",""
"ХН70Ю","ХН70Ю","Сплав жаропрочный","различные детали, работающие при умеренных напряжениях, при 1100—1200 °С (может применяться для нагревательных элементов сопротивления).","Известны","",""
"ХН75ВМЮ","ХН75ВМЮ","Сплав жаропрочный","лопатки турбин","Нет данных","",""
"ХН75МБТЮ","ХН75МБТЮ","Сплав жаропрочный","детали газопроводных систем, аппаратура, детали камер сгорания с ограниченным сроком службы при температурах до 950 град.С; сплав жаростойкий","Нет данных","",""
"ХН77ТЮ","ХН77ТЮ","Сплав жаропрочный","Диски, кольца, лопатки и другие детали, работающие до 750 °С.","Нет данных","",""
"ХН77ТЮР-ВД","ХН77ТЮР-ВД","Сплав жаропрочный","Диски, кольца, лопатки и другие детали, работающие до 750 °С.","Известны","Срок работы - ограниченный. Температура начала интенсивного окалинообразования 1050 °C.",""
"ХН77ТЮР","ХН77ТЮР","Сплав жаропрочный","Диски, кольца, лопатки и другие детали, работающие до 750 °С.","Известны","Срок работы - ограниченный. Температура начала интенсивного окалинообразования 1050 °C.",""
"ХН77ТЮРУ-ВД","ХН77ТЮРУ-ВД","Сплав жаропрочный","Диски, лопатки турбин и другие детали, работающие до 750 °С.","Нет данных","Срок работы - ограниченный. Температура начала интенсивного окалинообразования +1050 °C.",""
"ХН77ТЮРУ-ПД","ХН77ТЮРУ-ПД","Сплав жаропрочный","Диски, лопатки турбин и другие детали, работающие до 750 °С.","Нет данных","Срок работы - ограниченный. Температура начала интенсивного окалинообразования +1050 °C.",""
"ХН77ТЮРУ","ХН77ТЮРУ","Сплав жаропрочный","Диски, лопатки турбин и другие детали, работающие до 750 °С.","Нет данных","Срок работы - ограниченный. Температура начала интенсивного окалинообразования +1050 °C.",""
"ХН78Т","ХН78Т","Сплав жаропрочный","сортовые детали, трубы, работающие до температуры 1100 °С.","Известны","","ХН38ВТ, 12Х25Н16Г7АР, 20Х23Н18"
"ХН80ТБЮ","ХН80ТБЮ","Сплав жаропрочный","лопатки, крепежные детали турбин, длительно работающие при температурах до 700 °С.","Известны","",""
"ЭИ10","ЭИ10","Сталь жаропрочная релаксационностойкая","Болты, плоские пружины, шпильки и другие крепежные детали, работающие при температурах до 500-510 °С.","Известны","Сталь перлитного класса. Рекомендуемая температура применения до 510 °С ; Температура интенсивного окалинообразования 600 °С ; срок работы - более 10000 ч. По СТ-ЦКБА 010-2004 критическая температура хрупкости 20 °С",""
"ЭИ107","ЭИ107","Сталь жаропрочная высоколегированная","клапаны авиадвигателей, автомобильных и тракторных дизельных двигателей, крепежные детали двигателей. Сталь обладает высокими механическими свойствами до 600 °С, однако при длительных выдержках при 500 °С и особенно при 600 °С ударная вязкость резко снижается до 150 кДж/м2.; сталь мартенситного класса","Известны","",""
"ЭИ202","ЭИ202","Сплав жаропрочный","Лопатки, корпуса, диски, листовые детали турбин, сварные изделия, работающие при температурах до 800 °С.","Нет данных","Срок работы - длительный. Температура начала интенсивного окалинообразования 1000 °C.",""
"ЭИ211","ЭИ211","Сталь жаропрочная высоколегированная","печные конвейеры, ящики для цементации и другие детали термических печей.","Известны","",""
"ЭИ319","ЭИ319","Сталь жаропрочная высоколегированная","детали, работающие при высоких температурах в слабонагруженном состоянии. Сталь жаростойкая до 900—1000 °С","Известны","",""
"ЭИ388","ЭИ388","Сталь жаропрочная высоколегированная","лопатки газовых турбин, крепежные детали, работающие при температуре 650 град.С ограниченное время; сталь аустенитного класса","Нет данных","",""
"ЭИ404","ЭИ404","Сталь жаропрочная высоколегированная","для клапанов автотракторных моторов и т.д.; сталь жаростойкая, устойчива в серосодержащих средах","Известны","",""
"ЭИ415","ЭИ415","Сталь жаропрочная релаксационностойкая","Роторы, диски, поковки, прутки, крепежные детали; трубы высокого давления для химической аппаратуры и гидрогенизационных установок","Нет данных","Сталь перлитного класса. Рекомендуемая температура применения до 500-560 °С ; Температура интенсивного окалинообразования 600 °С ; срок работы - от 1000 до 10000 ч.",""
"ЭИ417","ЭИ417","Сталь жаропрочная высоколегированная","работающие и направляющие лопатки, поковки и бандажи, работающие при температурах 650-700 град., детали камер сгорания и др. печное оборудование, работающее при температурах 1000-1050 град.","Известны","","20Х23Н13, 15Х25Т"
"ЭИ428","ЭИ428","Сталь жаропрочная низколегированная","детали котельных установок, трубы; сталь жаростойкая","Известны","",""
"ЭИ435","ЭИ435","Сплав жаропрочный","сортовые детали, трубы, работающие до температуры 1100 °С.","Известны","","ХН38ВТ, 12Х25Н16Г7АР, 20Х23Н18"
"ЭИ437А","ЭИ437А","Сплав жаропрочный","Диски, кольца, лопатки и другие детали, работающие до 750 °С.","Нет данных","",""
"ЭИ437Б-ВД","ЭИ437Б-ВД","Сплав жаропрочный","Диски, кольца, лопатки и другие детали, работающие до 750 °С.","Известны","Срок работы - ограниченный. Температура начала интенсивного окалинообразования 1050 °C.",""
"ЭИ437Б","ЭИ437Б","Сплав жаропрочный","Диски, кольца, лопатки и другие детали, работающие до 750 °С.","Известны","Срок работы - ограниченный. Температура начала интенсивного окалинообразования 1050 °C.",""
"ЭИ437БУ-ВД","ЭИ437БУ-ВД","Сплав жаропрочный","Диски, лопатки турбин и другие детали, работающие до 750 °С.","Нет данных","Срок работы - ограниченный. Температура начала интенсивного окалинообразования +1050 °C.",""
"ЭИ437БУ-ПД","ЭИ437БУ-ПД","Сплав жаропрочный","Диски, лопатки турбин и другие детали, работающие до 750 °С.","Нет данных","Срок работы - ограниченный. Температура начала интенсивного окалинообразования +1050 °C.",""
"ЭИ437БУ","ЭИ437БУ","Сплав жаропрочный","Диски, лопатки турбин и другие детали, работающие до 750 °С.","Нет данных","Срок работы - ограниченный. Температура начала интенсивного окалинообразования +1050 °C.",""
"ЭИ481","ЭИ481","Сталь жаропрочная высоколегированная","диски, крепежные и другие детали, работающие с ограниченным сроком службы при 600—650 °С.; сталь аустенитного класса","Известны","",""
"ЭИ484","ЭИ484","Сталь жаропрочная высоколегированная","трубы пиролизных установок, аппаратура; сталь жаростойкая","Известны","",""
"ЭИ559А","ЭИ559А","Сплав жаропрочный","Детали газопроводных систем, аппаратура с ограниченным сроком службы при 1100 град.С и кратковременным сроком службы при 1250 град.С ; сплав жаростойкий","Нет данных","С 1.01.91 не допускается к применению во вновь создаваемой и модернизируемой технике.",""
"ЭИ572","ЭИ572","Сталь жаропрочная высоколегированная","поковки, лопатки, крепежные детали, длительно работающие при температурах до 630 град.","Известны","",""
"ЭИ578","ЭИ578","Сталь жаропрочная низколегированная","Трубы для гидрогенизационных установок;","Нет данных","Сталь перлитного класса. Рекомендуемая температура применения до 450-500 °С ; Температура интенсивного окалинообразования 600 °С ; срок работы - от 1000 до 10000 ч.",""
"ЭИ579","ЭИ579","Сталь жаропрочная релаксационностойкая","Роторы, диски, поковки, прутки, крепежные детали; трубы высокого давления для химической аппаратуры и гидрогенизационных установок","Нет данных","Сталь перлитного класса. Рекомендуемая температура применения до 500-560 °С ; Температура интенсивного окалинообразования 600 °С ; срок работы - от 1000 до 10000 ч.",""
"ЭИ598-ВД","ЭИ598-ВД","Сплав жаропрочный","лопатки турбин","Нет данных","",""
"ЭИ598-ВИ","ЭИ598-ВИ","Сплав жаропрочный","лопатки турбин","Нет данных","",""
"ЭИ598","ЭИ598","Сплав жаропрочный","лопатки турбин","Нет данных","",""
"ЭИ602","ЭИ602","Сплав жаропрочный","детали газопроводных систем, аппаратура, детали камер сгорания с ограниченным сроком службы при температурах до 950 град.С; сплав жаростойкий","Нет данных","",""
"ЭИ607","ЭИ607","Сплав жаропрочный","лопатки, крепежные детали турбин, длительно работающие при температурах до 700 °С.","Известны","",""
"ЭИ612","ЭИ612","Сплав жаропрочный","диски, роторы, крепежные детали, плоские пружины и другие детали, работающие до 650 °С.","Известны","",""
"ЭИ617-ВИ","ЭИ617-ВИ","Сплав жаропрочный","для рабочих и сопловых лопаток газовых турбин","Нет данных","",""
"ЭИ617","ЭИ617","Сплав жаропрочный","для рабочих и сопловых лопаток газовых турбин","Нет данных","",""
"ЭИ652","ЭИ652","Сплав жаропрочный","различные детали, работающие при умеренных напряжениях, при 1100—1200 °С (может применяться для нагревательных элементов сопротивления).","Известны","",""
"ЭИ680","ЭИ680","Сталь жаропрочная высоколегированная","поковки для дисков и роторов, лопатки и болты, длительно работающие при температурах до 600 град. ; сталь аустенитного класса","Известны","",""
"ЭИ69","ЭИ69","Сталь жаропрочная высоколегированная","детали арматуры, поковки, крепеж для длительной работы при температурах до 600 град.С и ограниченного срока службы при 650 град.С","Нет данных","",""
"ЭИ694","ЭИ694","Сталь жаропрочная высоколегированная","турбины пароперегревателей и трубопроводы установок сверхвысокого давления для длительной службы при температурах до 650 град.; сталь аустенитного класса","Нет данных","",""
"ЭИ695Р","ЭИ695Р","Сталь жаропрочная высоколегированная","паропроводные и пароперегревательные трубы установок сверхвысокого давления с длительным сроком службы при температурах до 700 град.С ; сталь аустенитного класса","Нет данных","",""
"ЭИ696","ЭИ696","Сталь жаропрочная высоколегированная","турбинные диски, кольцевые детали, крепежные детали, детали компрессора и рабочей части турбины с рабочей температурой до 700 град.; сталь аустенитного класса","Нет данных","",""
"ЭИ696А","ЭИ696А","Сталь жаропрочная высоколегированная","детали турбин","Нет данных","",""
"ЭИ703","ЭИ703","Сплав жаропрочный","детали газовых систем, листовые детали, работающие при умеренных напряжениях","Известны","",""
"ЭИ703Б","ЭИ703Б","Сплав жаропрочный","детали газовых систем, листовые детали, работающие при умеренных напряжениях","Нет данных","",""
"ЭИ72","ЭИ72","Сталь жаропрочная высоколегированная","для клапанов автомобильных моторов; сталь жаростойкая","Известны","",""
"ЭИ725","ЭИ725","Сплав жаропрочный","лист для корпусов и направляющих лопаток турбин, работающи при температурах до 750-800 град.","Нет данных","",""
"ЭИ726","ЭИ726","Сталь жаропрочная высоколегированная","роторы, диски, лопатки турбин с длительным сроком службы при температурах 650-700 град.; сталь аустенитного класса","Нет данных","",""
"ЭИ732","ЭИ732","Сталь жаропрочная высоколегированная","для труб; сталь жаростойкая, устойчива в науглероживающих средах","Известны","",""
"ЭИ736","ЭИ736","Сталь жаропрочная высоколегированная","высоконагруженные детали, длительно работающие при температурах до 550 °С. в условиях повышенной влажности; температура окалинообразования 700 °С. ; сталь мартенситного класса","Нет данных","",""
"ЭИ765","ЭИ765","Сплав жаропрочный","крепежные и другие детали, работающие при температуре до 750—800 °С.","Нет данных","",""
"ЭИ787","ЭИ787","Сплав жаропрочный","рабочие лопатки газотурбинных и других двигателей, работающие при температуре до 700—800 °С, компрессорные лопатки, работающие до 700—800 °С, диски, дефлекторы, кольца, работающие при температуре до 750 °С.","Нет данных","",""
"ЭИ802","ЭИ802","Сталь жаропрочная высоколегированная","лопатки,поковки, крепежные детали турбин для длительного срока службы при температурах до 580 °С; температура окалинообразования 750 °С. ; сталь мартенсито - ферритного класса","Известны","",""
"ЭИ826-ВД","ЭИ826-ВД","Сплав жаропрочный","Лопатки турбин и другие тяжелонагруженные детали для работы при температурах до 800°С.","Нет данных","Срок работы - длительный. Температура начала интенсивного окалинообразования 1050 °С",""
"ЭИ826","ЭИ826","Сплав жаропрочный","Лопатки турбин и другие тяжелонагруженные детали для работы при температурах до 800°С.","Нет данных","Срок работы - длительный. Температура начала интенсивного окалинообразования 1050 °С",""
"ЭИ827","ЭИ827","Сплав жаропрочный","лопатки турбин","Нет данных","",""
"ЭИ835","ЭИ835","Сталь жаропрочная высоколегированная","лист, проволока, трубы, лента, детали, работающие до 950 °С при умеренных напряжениях.","Нет данных","",""
"ЭИ847-ИД","ЭИ847-ИД","Сталь жаропрочная высоколегированная","Для изготовления труб пароперегревателей и паропроводов высокого давления","Нет данных","Сталь жаропрочная коррозионностойкая аустенитного класса. (Внимание! Сталь 09Х16Н15М3Б также обозначается ЭИ847)",""
"ЭИ847","ЭИ847","Сталь жаропрочная высоколегированная","трубы пароперегревателей и паропроводов высокого давления, длительно работающие при температурах до 350 °С. ; сталь аустенитного класса","Известны","(Внимание! Сталь 06Х16Н15М3Б-ИД имеет похожее обозначение ЭИ847-ИД)",""
"ЭИ867-ВД","ЭИ867-ВД","Сплав жаропрочный","лопатки, диски турбин, работающие при температурах до 900 °С.","Нет данных","Срок работы - ограниченный. Температура начала интенсивного окалинообразования 1080 °C.",""
"ЭИ867","ЭИ867","Сплав жаропрочный","лопатки, диски турбин, работающие при температурах до 900 °С.","Нет данных","Срок работы - ограниченный. Температура начала интенсивного окалинообразования 1080 °C.",""
"ЭИ868","ЭИ868","Сплав жаропрочный","листовые детали двигателя,работающие при температурах до 1000 °С.; сплав жаростойкий, жаропрочный","Нет данных","",""
"ЭИ893-ВД","ЭИ893-ВД","Сплав жаропрочный","Рабочие и направляющие лопатки и крепежные детали газовых турбин, работающие при температурах до 800 °С.","Нет данных","Срок работы - весьма длительный. Температура начала интенсивного окалинообразования 1000 °С",""
"ЭИ893-ВИ","ЭИ893-ВИ","Сплав жаропрочный","Рабочие и направляющие лопатки и крепежные детали газовых турбин, работающие при температурах до 800 °С.","Нет данных","Срок работы - весьма длительный. Температура начала интенсивного окалинообразования 1000 °С",""
"ЭИ893","ЭИ893","Сплав жаропрочный","Рабочие и направляющие лопатки и крепежные детали газовых турбин, работающие при температурах до 800 °С.","Нет данных","Срок работы - весьма длительный. Температура начала интенсивного окалинообразования 1000 °С",""
"ЭИ961","ЭИ961","Сталь жаропрочная высоколегированная","различные детали газовых турбин, длительно работающие при температурах до 600 град.","Нет данных","",""
"ЭИ962","ЭИ962","Сталь жаропрочная высоколегированная","нагруженные детали, длительно работающие при температурах до 600 °С.; сталь мартенситного класса","Нет данных","",""
"ЭИ962А","ЭИ962А","Сталь жаропрочная высоколегированная","Диски компрессора, лопатки и другие нагруженные детали","Нет данных","С 1.01.91 не допускается к применению во вновь создаваемой и модернизируемой технике.",""
"ЭИ993","ЭИ993","Сталь жаропрочная высоколегированная","лопатки паровых турбин, трубы и крепежные детали для длительного срока службы при температурах до 620 град. ; сталь мартенсито - ферритного класса","Нет данных","",""
"ЭП109-ВД","ЭП109-ВД","Сплав жаропрочный","Лопатки газовых турбин и другие детали для работы под нагрузкой при температурах до 950°С.","Нет данных","Срок работы - ограниченный. Температура начала интенсивного окалинообразования 1080 °C.",""
"ЭП109","ЭП109","Сплав жаропрочный","Лопатки газовых турбин и другие детали для работы под нагрузкой при температурах до 950°С.","Нет данных","Срок работы - ограниченный. Температура начала интенсивного окалинообразования 1080 °C.",""
"ЭП126","ЭП126","Сплав жаропрочный","листовые детали турбин; сплав жаростойкий","Нет данных","",""
"ЭП164","ЭП164","Сталь жаропрочная высоколегированная","рабочие и направляющие лопатки, крепежные детали, диски газовых турбин с длительным сроком службы при температурах 650-700 град. ; сталь аустенитного класса","Нет данных","",""
"ЭП182","ЭП182","Сталь жаропрочная релаксационностойкая","Крепежные детали турбин и фланцевых соединений паропроводов и аппаратуры с рабочей температурой до 580 °С","Нет данных","Сталь перлитного класса. Рекомендуемая температура применения до 500-580 °С ;",""
"ЭП199","ЭП199","Сплав жаропрочный","высоконагруженные детали, штуцера, фланцы, листовые детали для ограниченного срока службы при температурах до 950 град.С","Нет данных","",""
"ЭП202-ВД","ЭП202-ВД","Сплав жаропрочный","Лопатки, корпуса, диски, листовые детали турбин, сварные изделия, работающие при температурах до 800 °С.","Нет данных","Срок работы - длительный. Температура начала интенсивного окалинообразования 1000 °C.",""
"ЭП202","ЭП202","Сплав жаропрочный","Лопатки, корпуса, диски, листовые детали турбин, сварные изделия, работающие при температурах до 800 °С.","Нет данных","Срок работы - длительный. Температура начала интенсивного окалинообразования 1000 °C.",""
"ЭП220-ВД","ЭП220-ВД","Сплав жаропрочный","Для изготовления различных деталей ответственного назначения энергомашиностроения, двигателестроения, турбиностроения; лопаток турбин; деталей специальной техники.","Нет данных","",""
"ЭП238-ВД","ЭП238-ВД","Сплав жаропрочный","Для изготовления различных деталей ответственного назначения энергомашиностроения, двигателестроения, турбиностроения; лопаток турбин; деталей специальной техники.","Нет данных","",""
"ЭП291","ЭП291","Сталь жаропрочная высоколегированная","высоконагруженные детали паровых и газовых турбин, длительно работающие при температурах до 600 °С. ; сталь мартенситного класса","Известны","",""
"ЭП303","ЭП303","Сталь жаропрочная высоколегированная","Клапаны автомобильных моторов","Известны","Сталь жаростойкая и жаропрочная аустенитного класса.",""
"ЭП303Б","ЭП303Б","Сталь жаропрочная высоколегированная","Клапаны автомобильных моторов","Нет данных","Сталь жаростойкая и жаропрочная аустенитного класса.",""
"ЭП33","ЭП33","Сталь жаропрочная высоколегированная","пружины и детали крепежа с ограниченным сроком работы при при температурах до 700 °С; сталь аустенитного класса","Нет данных","",""
"ЭП428","ЭП428","Сталь жаропрочная высоколегированная","высоконагруженные детали паровых и газовых турбин, длительно работающие при температурах до 600 °С.; сталь мартенситного класса","Известны","",""
"ЭП44","ЭП44","Сталь жаропрочная релаксационностойкая","Крепежные детали турбин и фланцевых соединений паропроводов и аппаратуры с рабочей температурой до 580 град.","Нет данных","Сталь перлитного класса. Рекомендуемая температура применения до 500-580 °С;",""
"ЭП454","ЭП454","Сплав жаропрочный","лопатки, диски турбин","Нет данных","",""
"ЭП48","ЭП48","Сталь жаропрочная высоколегированная","клапаны моторов","Нет данных","",""
"ЭП503","ЭП503","Сталь жаропрочная высоколегированная","энергетическое машиностроение (трубы для длительной работы при температурах до 650 град.С)","Нет данных","",""
"ЭП505","ЭП505","Сталь жаропрочная высоколегированная","в энергетическом машиностроении - трубы и детали для длительной работы при температурах 600-620 град.","Нет данных","",""
"ЭП539-ВД","ЭП539-ВД","Сплав жаропрочный","Для изготовления различных деталей ответственного назначения энергомашиностроения, двигателестроения, турбиностроения; лопаток турбин; деталей специальной техники.","Нет данных","",""
"ЭП54","ЭП54","Сталь жаропрочная высоколегированная","теплообменники, реакторы, трубопроводы, арматура, длительно работающие при температурах до 300 град.; сталь аустенитно - ферритного класса","Известны","",""
"ЭП590","ЭП590","Сплав жаропрочный","лопатки, корпуса и другие детали турбин","Нет данных","",""
"ЭП670","ЭП670","Сплав жаропрочный","газоотводящие трубы, листовые детали высокотемпературных установок в нефтехимическом машиностроении для длительной службы при температурах 700-850 град.","Известны","",""
"ЭП747","ЭП747","Сплав жаропрочный","ролики щелевых печей, печные конвейерные сетки, детали горелочных устройств, чехлы термопар и др. детали для длительной работы при температурах 1250-1300 град.С","Нет данных","",""
"ЭП752","ЭП752","Сталь жаропрочная высоколегированная","трубы для длительной работы при температурах до 630 град С.","Нет данных","",""
"ЭП975-ИД","ЭП975-ИД","Сплав жаропрочный","применяется для изготовления дисков газовых турбин двигателей с рабочей температурой до 850°С","Нет данных","",""
"ЭП975ИД","ЭП975ИД","Сплав жаропрочный","применяется для изготовления дисков газовых турбин двигателей с рабочей температурой до 850°С","Нет данных","",""
"10Х23Н18","10Х23Н18","Сталь жаропрочная высоколегированная","листовые детали, трубы, арматура (при пониженных нагрузках), работающие при 1000 °С.","Известны","",""
"0Х23Н18","0Х23Н18","Сталь жаропрочная высоколегированная","листовые детали, трубы, арматура (при пониженных нагрузках), работающие при 1000 °С.","Известны","",""
"20Х25Н20С2","20Х25Н20С2","Сталь жаропрочная высоколегированная","детали печей, работающие при температуре до 1100 °С в воздушной и углеводородной атмосферах.","Известны","",""
"Х25Н20С2","Х25Н20С2","Сталь жаропрочная высоколегированная","детали печей, работающие при температуре до 1100 °С в воздушной и углеводородной атмосферах.","Известны","",""
"ЭИ283","ЭИ283","Сталь жаропрочная высоколегированная","детали печей, работающие при температуре до 1100 °С в воздушной и углеводородной атмосферах.","Известны","",""
"000Х18Н11","000Х18Н11","Сталь коррозионно-стойкая обыкновенная","изделия, работающие в азотнокислых средах при повышенной температуре; сталь аустенитного класса","Известны","",""
"000Х18Н12","000Х18Н12","Сталь коррозионно-стойкая обыкновенная","Изделия, работающие в азотнокислых средах при повышенной температуре","Нет данных","С 1.01.91 не допускается к применению во вновь создаваемой и модернизируемой технике.",""
"000Х23Н28М3Д3Т","000Х23Н28М3Д3Т","Сплав коррозионно-стойкий","сварные конструкции, работающие при температурах до 80 °С в серной кислоте различных концентраций, за исключением 55 %-ной уксусной и фосфорной кислот.","Известны","",""
"00Х16Н15М3Б","00Х16Н15М3Б","Сталь коррозионно-стойкая обыкновенная","Сварные конструкции, работающие в средах повышенной агрессивности; сталь аустенитного класса","Нет данных","С 1.01.91 не допускается к применению во вновь создаваемой и модернизируемой технике.",""
"00Х18Н10","00Х18Н10","Сталь коррозионно-стойкая обыкновенная","детали, работающие в азотнокислых средах при повышенной температуре; сталь аустенитного класса","Известны","",""
"00Х20Н20М4Б","00Х20Н20М4Б","Сталь коррозионно-стойкая обыкновенная","для сварных конструкции и узлов, работающих в условиях действия горячей фосфорной кислоты с примесью фтористых и сернистых соединений, а также в серной кислоте низкой концентрации при температурах до 80 град.С, азотной кислоте при температурах до 95 град.С; сталь аустенитного класса","Нет данных","",""
